Distance_(mm),Gray_Value
0.000000,60.083
0.004712,67.435
0.009424,71.031
0.014136,72.617
0.018848,61.941
0.023560,53.525
0.028272,48.744
0.032984,41.019
0.037696,52.176
0.042408,73.583
0.047120,80.114
0.051833,89.272
0.056545,65.602
0.061257,42.253
0.065969,36.935
0.070681,27.559
0.075393,42.142
0.080105,72.238
0.084817,89.867
0.089529,123.861
0.094241,103.142
0.098953,82.691
0.103665,40.895
0.108377,18.182
0.113089,15.895
0.117801,47.593
0.122513,125.602
0.127225,152.969
0.131937,142.873
0.136649,145.608
0.141361,130.022
0.146073,91.611
0.150785,11.475
0.155498,5.802
0.160210,60.528
0.164922,192.176
0.169634,206.062
0.174346,205.633
0.179058,207.460
0.183770,205.432
0.188482,203.133
0.193194,202.210
0.197906,83.528
0.202618,5.201
0.207330,7.204
0.212042,35.077
0.216754,109.790
0.221466,161.670
0.226178,159.941
0.230890,163.910
0.235602,149.222
0.240314,85.441
0.245026,24.481
0.249738,16.012
0.254451,26.265
0.259163,92.590
0.263875,117.204
0.268587,141.247
0.273299,103.037
0.278011,58.892
0.282723,34.296
0.287435,25.191
0.292147,57.590
0.296859,91.938
0.301571,94.796
0.306283,103.596
0.310995,60.231
0.315707,30.704
0.320419,35.080
0.325131,51.855
0.329843,70.639
0.334555,83.441
0.339267,67.932
0.343979,53.154
0.348691,49.343
0.353404,52.475
0.358116,66.540
0.362828,81.935
0.367540,75.154
0.372252,68.466
0.376964,62.460
0.381676,62.762
0.386388,68.506
0.391100,74.914
0.395812,68.747
0.400524,65.914
