Distance_(mm),Gray_Value
0.000000,16.704
0.004712,17.135
0.009424,17.135
0.014136,19.519
0.018848,19.519
0.023560,23.774
0.028272,27.127
0.032984,29.587
0.037696,35.370
0.042408,32.619
0.047120,35.904
0.051833,27.859
0.056545,27.846
0.061257,20.606
0.065969,20.587
0.070681,15.803
0.075393,15.803
0.080105,14.385
0.084817,14.385
0.089529,17.958
0.094241,27.446
0.098953,48.000
0.103665,69.829
0.108377,87.051
0.113089,106.502
0.117801,104.524
0.122513,109.962
0.127225,89.250
0.131937,75.835
0.136649,49.603
0.141361,37.595
0.146073,25.163
0.150785,23.635
0.155498,21.904
0.160210,21.904
0.164922,22.731
0.169634,31.912
0.174346,49.615
0.179058,73.567
0.183770,94.051
0.188482,118.122
0.193194,120.279
0.197906,130.503
0.202618,114.412
0.207330,103.617
0.212042,73.628
0.216754,51.269
0.221466,30.595
0.226178,19.295
0.230890,17.128
0.235602,17.019
0.240314,19.550
0.245026,19.550
0.249738,23.511
0.254451,28.051
0.259163,31.402
0.263875,40.913
0.268587,35.606
0.273299,37.609
0.278011,26.588
0.282723,25.856
0.287435,18.497
0.292147,18.383
0.296859,16.332
0.301571,16.332
0.306283,16.888
0.310995,17.204
0.315707,25.519
0.320419,38.066
0.325131,50.591
0.329843,65.812
0.334555,69.292
0.339267,79.112
0.343979,60.894
0.348691,52.412
0.353404,34.288
0.358116,28.921
0.362828,20.731
0.367540,20.537
0.372252,17.561
0.376964,17.561
0.381676,17.053
0.386388,19.885
0.391100,32.186
0.395812,48.075
0.400524,59.383
0.405236,74.601
0.409948,74.503
0.414660,74.968
0.419372,52.697
0.424084,41.381
0.428796,27.035
0.433508,21.848
0.438220,19.929
0.442932,19.929
0.447644,20.314
0.452356,20.314
0.457069,22.923
0.461781,27.676
0.466493,40.779
0.471205,59.607
0.475917,66.962
0.480629,83.806
0.485341,78.375
0.490053,79.109
0.494765,55.372
0.499477,43.748
0.504189,26.250
0.508901,20.361
0.513613,17.369
0.518325,17.369
0.523037,18.114
0.527749,18.114
0.532461,21.321
0.537173,22.035
0.541885,25.692
0.546597,28.434
0.551309,26.946
0.556022,29.644
0.560734,24.521
0.565446,24.636
0.570158,18.864
0.574870,18.788
0.579582,13.835
0.584294,13.835
0.589006,11.849
0.593718,11.909
0.598430,18.638
0.603142,30.024
0.607854,49.845
0.612566,66.806
0.617278,81.764
0.621990,92.034
0.626702,82.303
0.631414,74.210
0.636126,51.152
0.640838,40.662
0.645550,26.821
0.650262,23.040
0.654975,20.913
0.659687,20.913
0.664399,20.633
0.669111,20.633
0.673823,27.470
0.678535,41.008
0.683247,58.364
0.687959,78.593
0.692671,90.284
0.697383,106.377
0.702095,96.458
0.706807,91.095
0.711519,64.849
0.716231,49.720
0.720943,30.556
0.725655,21.104
0.730367,18.139
0.735079,18.098
0.739791,18.811
0.744503,18.811
0.749215,21.792
0.753927,22.949
0.758640,31.679
0.763352,42.476
0.768064,46.117
0.772776,56.333
0.777488,46.859
0.782200,42.288
0.786912,30.212
0.791624,26.524
0.796336,19.442
0.801048,18.992
0.805760,16.377
0.810472,16.377
0.815184,16.388
0.819896,16.388
0.824608,19.026
0.829320,19.026
0.834032,21.992
0.838744,22.106
