time,(LX)
0,49492230000
50000,49488080000
100000,49485510000
150000,49491930000
200000,49492530000
250000,49488670000
300000,49489070000
350000,49494300000
400000,49495390000
450000,49496770000
500000,49495790000
550000,49495590000
600000,49500330000
650000,49490750000
700000,49491440000
750000,49498350000
800000,49493510000
850000,49501220000
900000,49501420000
950000,49499640000
1000000,49496280000
1050000,49486500000
1100000,49497470000
1150000,49495980000
1200000,49496480000
1250000,49495090000
1300000,49497760000
1350000,49505660000
1400000,49498750000
1450000,49501220000
1500000,49499640000
1550000,49498550000
1600000,49493020000
1650000,49482750000
1700000,49490950000
1750000,49491440000
1800000,49481460000
1850000,49489960000
1900000,49483830000
1950000,49486800000
2000000,49488480000
2050000,49486800000
2100000,49488770000
2150000,49485610000
2200000,49486300000
2250000,49498160000
2300000,49496770000
2350000,49498350000
2400000,49498160000
2450000,49496580000
2500000,49498650000
2550000,49498160000
2600000,49499440000
2650000,49496670000
2700000,49490450000
2750000,49487290000
2800000,49490750000
2850000,49486990000
2900000,49489460000
2950000,49498450000
3000000,49490850000
3050000,49493910000
3100000,49490650000
3150000,49494500000
3200000,49495190000
3250000,49493710000
3300000,49495090000
3350000,49504580000
3400000,49496380000
3450000,49489560000
3500000,49501910000
3550000,49498850000
3600000,49498060000
3650000,49497270000
3700000,49498550000
3750000,49498750000
3800000,49498060000
3850000,49495090000
3900000,49492720000
3950000,49494700000
4000000,49496580000
4050000,49492130000
4100000,49495790000
4150000,49491930000
4200000,49485020000
4250000,49484230000
4300000,49490350000
4350000,49489660000
4400000,49495000000
4450000,49484820000
4500000,49484330000
4550000,49482750000
4600000,49491930000
4650000,49483830000
4700000,49484330000
4750000,49503190000
4800000,49497170000
4850000,49503190000
4900000,49497270000
4950000,49495880000
5000000,49495000000
5050000,49500030000
5100000,49496970000
5150000,49502700000
5200000,49497660000
5250000,49491240000
5300000,49500130000
5350000,49502700000
5400000,49506950000
5450000,49506850000
5500000,49501420000
5550000,49500230000
5600000,49499440000
5650000,49498650000
