time,(LX)
0.00,"49,492,230,000"
"50,000.00","49,488,080,000"
"100,000.00","49,485,510,000"
"150,000.00","49,491,930,000"
"200,000.00","49,492,530,000"
"250,000.00","49,488,670,000"
"300,000.00","49,489,070,000"
"350,000.00","49,494,300,000"
"400,000.00","49,495,390,000"
"450,000.00","49,496,770,000"
"500,000.00","49,495,790,000"
"550,000.00","49,495,590,000"
"600,000.00","49,500,330,000"
"650,000.00","49,490,750,000"
"700,000.00","49,491,440,000"
"750,000.00","49,498,350,000"
"800,000.00","49,493,510,000"
"850,000.00","49,501,220,000"
"900,000.00","49,501,420,000"
"950,000.00","49,499,640,000"
"1,000,000.00","49,496,280,000"
"1,050,000.00","49,486,500,000"
"1,100,000.00","49,497,470,000"
"1,150,000.00","49,495,980,000"
"1,200,000.00","49,496,480,000"
"1,250,000.00","49,495,090,000"
"1,300,000.00","49,497,760,000"
"1,350,000.00","49,505,660,000"
"1,400,000.00","49,498,750,000"
"1,450,000.00","49,501,220,000"
"1,500,000.00","49,499,640,000"
"1,550,000.00","49,498,550,000"
"1,600,000.00","49,493,020,000"
"1,650,000.00","49,482,750,000"
"1,700,000.00","49,490,950,000"
"1,750,000.00","49,491,440,000"
"1,800,000.00","49,481,460,000"
"1,850,000.00","49,489,960,000"
"1,900,000.00","49,483,830,000"
"1,950,000.00","49,486,800,000"
"2,000,000.00","49,488,480,000"
"2,050,000.00","49,486,800,000"
"2,100,000.00","49,488,770,000"
"2,150,000.00","49,485,610,000"
"2,200,000.00","49,486,300,000"
"2,250,000.00","49,498,160,000"
"2,300,000.00","49,496,770,000"
"2,350,000.00","49,498,350,000"
"2,400,000.00","49,498,160,000"
"2,450,000.00","49,496,580,000"
"2,500,000.00","49,498,650,000"
"2,550,000.00","49,498,160,000"
"2,600,000.00","49,499,440,000"
"2,650,000.00","49,496,670,000"
"2,700,000.00","49,490,450,000"
"2,750,000.00","49,487,290,000"
"2,800,000.00","49,490,750,000"
"2,850,000.00","49,486,990,000"
"2,900,000.00","49,489,460,000"
"2,950,000.00","49,498,450,000"
"3,000,000.00","49,490,850,000"
"3,050,000.00","49,493,910,000"
"3,100,000.00","49,490,650,000"
"3,150,000.00","49,494,500,000"
"3,200,000.00","49,495,190,000"
"3,250,000.00","49,493,710,000"
"3,300,000.00","49,495,090,000"
"3,350,000.00","49,504,580,000"
"3,400,000.00","49,496,380,000"
"3,450,000.00","49,489,560,000"
"3,500,000.00","49,501,910,000"
"3,550,000.00","49,498,850,000"
"3,600,000.00","49,498,060,000"
"3,650,000.00","49,497,270,000"
"3,700,000.00","49,498,550,000"
"3,750,000.00","49,498,750,000"
"3,800,000.00","49,498,060,000"
"3,850,000.00","49,495,090,000"
"3,900,000.00","49,492,720,000"
"3,950,000.00","49,494,700,000"
"4,000,000.00","49,496,580,000"
"4,050,000.00","49,492,130,000"
"4,100,000.00","49,495,790,000"
"4,150,000.00","49,491,930,000"
"4,200,000.00","49,485,020,000"
"4,250,000.00","49,484,230,000"
"4,300,000.00","49,490,350,000"
"4,350,000.00","49,489,660,000"
"4,400,000.00","49,495,000,000"
"4,450,000.00","49,484,820,000"
"4,500,000.00","49,484,330,000"
"4,550,000.00","49,482,750,000"
"4,600,000.00","49,491,930,000"
"4,650,000.00","49,483,830,000"
"4,700,000.00","49,484,330,000"
"4,750,000.00","49,503,190,000"
"4,800,000.00","49,497,170,000"
"4,850,000.00","49,503,190,000"
"4,900,000.00","49,497,270,000"
"4,950,000.00","49,495,880,000"
"5,000,000.00","49,495,000,000"
"5,050,000.00","49,500,030,000"
"5,100,000.00","49,496,970,000"
"5,150,000.00","49,502,700,000"
"5,200,000.00","49,497,660,000"
"5,250,000.00","49,491,240,000"
"5,300,000.00","49,500,130,000"
"5,350,000.00","49,502,700,000"
"5,400,000.00","49,506,950,000"
"5,450,000.00","49,506,850,000"
"5,500,000.00","49,501,420,000"
"5,550,000.00","49,500,230,000"
"5,600,000.00","49,499,440,000"
"5,650,000.00","49,498,650,000"
"5,700,000.00","49,491,240,000"
"5,750,000.00","49,497,170,000"
"5,800,000.00","49,500,820,000"
"5,850,000.00","49,492,920,000"
"5,900,000.00","49,485,710,000"
"5,950,000.00","49,489,270,000"
"6,000,000.00","49,488,280,000"
"6,050,000.00","49,494,010,000"
"6,100,000.00","49,489,960,000"
"6,150,000.00","49,494,300,000"
"6,200,000.00","49,493,910,000"
"6,250,000.00","49,486,700,000"
"6,300,000.00","49,497,370,000"
"6,350,000.00","49,491,640,000"
"6,400,000.00","49,498,260,000"
"6,450,000.00","49,496,970,000"
"6,500,000.00","49,497,070,000"
"6,550,000.00","49,494,900,000"
"6,600,000.00","49,495,090,000"
"6,650,000.00","49,495,000,000"
"6,700,000.00","49,499,140,000"
"6,750,000.00","49,495,000,000"
"6,800,000.00","49,495,390,000"
"6,850,000.00","49,490,950,000"
"6,900,000.00","49,493,510,000"
"6,950,000.00","49,490,060,000"
"7,000,000.00","49,488,970,000"
"7,050,000.00","49,495,490,000"
"7,100,000.00","49,487,290,000"
"7,150,000.00","49,486,900,000"
"7,200,000.00","49,488,480,000"
"7,250,000.00","49,488,670,000"
"7,300,000.00","49,493,220,000"
"7,350,000.00","49,490,950,000"
"7,400,000.00","49,491,340,000"
"7,450,000.00","49,492,820,000"
"7,500,000.00","49,493,810,000"
"7,550,000.00","49,498,950,000"
"7,600,000.00","49,497,660,000"
"7,650,000.00","49,493,510,000"
"7,700,000.00","49,495,290,000"
"7,750,000.00","49,495,290,000"
"7,800,000.00","49,502,800,000"
"7,850,000.00","49,500,130,000"
"7,900,000.00","49,494,400,000"
"7,950,000.00","49,496,480,000"
"8,000,000.00","49,497,760,000"
"8,050,000.00","49,503,690,000"
"8,100,000.00","49,498,350,000"
"8,150,000.00","49,500,330,000"
"8,200,000.00","49,497,560,000"
"8,250,000.00","49,485,410,000"
"8,300,000.00","49,492,620,000"
"8,350,000.00","49,494,400,000"
"8,400,000.00","49,494,900,000"
"8,450,000.00","49,490,160,000"
"8,500,000.00","49,493,710,000"
"8,550,000.00","49,490,250,000"
"8,600,000.00","49,490,650,000"
"8,650,000.00","49,498,650,000"
"8,700,000.00","49,490,950,000"
"8,750,000.00","49,497,760,000"
"8,800,000.00","49,493,510,000"
"8,850,000.00","49,492,620,000"
"8,900,000.00","49,490,250,000"
"8,950,000.00","49,488,770,000"
"9,000,000.00","49,488,380,000"
